ID,OG_category,XENLA_GeneNames,HUMAN_GeneNames,OG_annotation,OG_category_annotation
ENOG411CSGH,U,"aph1a.S, aph1a.L","APH1A, APH1B",anterior pharynx defective 1 homolog,Intracellular trafficing and secretion
ENOG411CSGJ,K,taf10,TAF10,"TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor",Transcription
ENOG411CSGK,E,"pycrl.S, pycrl.L",PYCR3,pyrroline-5-carboxylate reductase-like,Amino Acid metabolis and transport
ENOG411CSGM,T,lpar2.L,LPAR2,Lysophosphatidic acid receptor 2,Signal Transduction
ENOG411CSGN,T,"loc100493940.S, loc100493940.L",NA,adrenergic receptor-like,Signal Transduction
ENOG411CSGP,S,donson.L,DONSON,downstream neighbor of Son,Function Unknown
ENOG411CSGQ,K,"scrt1.L, scrt1.S, Xelaev18034142m.g",SCRT1,zinc finger protein (Drosophila),Transcription
ENOG411CSGR,T,"mamdc4.S, malrd1.L","MALRD1, MAMDC4",MAM domain containing 4,Signal Transduction
ENOG411CSGT,F,ntpcr.1,NTPCR,"Nucleoside-triphosphatase, cancer-related",Nucleotide metabolism and transport
ENOG411CSGW,A,NA,ADAD2,adenosine deaminase domain containing 2,RNA processing and modification
ENOG411CSGY,G,"ugt1a6.S, ugt1a1.L, ugt2a1.L","UGT2A1, UGT2B17, UGT2B15, UGT1A1, UGT1A3, UGT1A5, UGT1A4","UDP Glucuronosyltransferase 2 family, polypeptide",Carbohydrate metabolism and transport
ENOG411CSGZ,S,fancd2.L,FANCD2,Fanconi anemia complementation group d2,Function Unknown
ENOG411CSH0,J,"Xelaev18013699m.g, Xelaev18016151m.g, Xelaev18016150m.g",EXOSC8,Exosome component 8,Tranlsation
ENOG411CSH1,T,tgfb1.S,TGFB1,Transforming growth factor beta 1,Signal Transduction
ENOG411CSH3,S,tulp2.L,TULP2,tubby like protein 2,Function Unknown
ENOG411CSH4,K,"uhrf1.L, uhrf2.S","UHRF1, UHRF2",ubiquitin-like with PHD and ring finger domains,Transcription
ENOG411CSH6,U,"arl3.2.S, arl3.2.L",NA,ADP-ribosylation factor-like protein 3-like,Intracellular trafficing and secretion
ENOG411CSH7,S,kdelc1.L,POGLUT2,KDEL (Lys-Asp-Glu-Leu) containing 1,Function Unknown
ENOG411CSH8,S,"loc100488348.S, c4orf27.L","HPF1, NA",chromosome 4 open reading frame 27,Function Unknown
ENOG411CSH9,DO,anapc1.S,ANAPC1,Anaphase promoting complex subunit 1,NA
ENOG411CSHA,J,eefsec.S,EEFSEC,"Eukaryotic elongation factor, selenocysteine-tRNA-specific",Tranlsation
ENOG411CSHE,S,"map7d2.L, map7d2.S",MAP7D2,MAP7 domain containing 2,Function Unknown
ENOG411CSHF,DKT,NA,"TMEM30A, TMEM30B",Transmembrane protein 30A,NA
ENOG411CSHG,A,"prpf38a.S, prpf38a.L",PRPF38A,PRP38 pre-mRNA processing factor 38 (Yeast) domain containing A,RNA processing and modification
ENOG411CSHH,G,"csgalnact2.L, csgalnact1.S, csgalnact1.L","CSGALNACT1, CSGALNACT2",Chondroitin sulfate N-acetylgalactosaminyltransferase,Carbohydrate metabolism and transport
ENOG411CSHI,T,"lrrn3.S, lrrn3.L, lrrn1-like.1.S, lrrn1-like.2.L","LRRN1, LRRN3, LRRN2",leucine rich repeat neuronal,Signal Transduction
ENOG411CSHJ,L,mre11a.L,MRE11,MRE11 meiotic recombination 11 homolog A (S. cerevisiae),Replication and repair
ENOG411CSHK,K,gtf2h2.S,"GTF2H2, GTF2H2C; GTF2H2C_2","general transcription factor IIH, polypeptide 2, 44kDa",Transcription
ENOG411CSHM,E,"Xelaev18022358m.g, Xelaev18022359m.g, loc101733231.L, ctrb1.S, Xelaev18022360m.g","CTRB1, CTRB2, CTRL",Chymotrypsin-like,Amino Acid metabolis and transport
ENOG411CSHN,G,"Xelaev18022927m.g, st6galnac4.L, st6galnac4.S","ST6GALNAC4, ST6GALNAC3","ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase",Carbohydrate metabolism and transport
ENOG411CSHP,S,NA,ETFBKMT,methyltransferase like 20,Function Unknown
ENOG411CSHQ,U,"lurap1.S, lurap1.L",LURAP1,leucine rich adaptor protein 1,Intracellular trafficing and secretion
ENOG411CSHR,S,"loc101732906.L, Xelaev18025184m.g, Xelaev18028140m.g, loc100498356.S, Xelaev18030129m.g, loc101732299.L, Xelaev18028065m.g, Xelaev18028064m.g, zdhhc2.S, Xelaev18028175m.g, zdhhc20.S, Xelaev18004457m.g, loc100495640.L, Xelaev18015017m.g","ZDHHC20, ZDHHC2","Zinc finger, DHHC-type containing",Function Unknown
ENOG411CSHS,T,"cit.L, cit.S",CIT,"Citron (Rho-interacting, serine threonine kinase 21)",Signal Transduction
ENOG411CSHT,P,"trpc3.S, trpc6.S, trpc3.L, trpc6.L","TRPC7, TRPC3, TRPC6",Transient receptor potential cation channel subfamily C member,Inorganic ion transport and metabolism
ENOG411CSHU,L,ercc1.L,ERCC1,"Excision repair cross-complementing rodent repair deficiency, complementation group 1 (Includes overlapping antisense sequence)",Replication and repair
ENOG411CSHW,E,haao.L,HAAO,"Catalyzes the oxidative ring opening of 3- hydroxyanthranilate to 2-amino-3-carboxymuconate semialdehyde, which spontaneously cyclizes to quinolinate (By similarity)",Amino Acid metabolis and transport
ENOG411CSHX,A,rpusd1.L,RPUSD1,RNA pseudouridylate synthase domain containing 1,RNA processing and modification
ENOG411CSI0,O,"fam181b.S, fam181b.L",FAM181B,"family with sequence similarity 181, member B",Post-translational modification
ENOG411CSI1,BK,sirt4.L,SIRT4,"NAD-dependent protein ADP-ribosyl transferase. Catalyzes the transfer of ADP-ribosyl groups onto target proteins, including mitochondrial GLUD1. Inhibits GLUD1 enzyme activity. Down- regulates insulin secretion. Has no detectable protein deacetylase activity (By similarity)",NA
ENOG411CSI2,O,"Xelaev18042675m.g, Xelaev18042674m.g",FUT8,"Catalyzes the addition of fucose in alpha 1-6 linkage to the first GlcNAc residue, next to the peptide chains in N-glycans (By similarity)",Post-translational modification
ENOG411CSI4,T,"ptprb.L, ptprb.S",PTPRB,"protein tyrosine phosphatase, receptor type, B",Signal Transduction
ENOG411CSI5,OT,adgb.L,ADGB,androglobin,NA
ENOG411CSI6,Z,"ablim1.S, ablim1.L",ABLIM1,actin binding LIM protein 1,Cytoskeleton
ENOG411CSI7,K,"zmynd11.S, zmynd11.L",ZMYND11,"zinc finger, MYND-type containing 11",Transcription
ENOG411CSI8,O,"cilp.L, cilp.S, cilp2.L, cilp2.S","CILP, CILP2",cartilage intermediate layer protein,Post-translational modification
ENOG411CSI9,TU,"Xelaev18002481m.g, Xelaev18041404m.g, Xelaev18001862m.g, syn3.S, syn2.S, Xelaev18038145m.g, Xelaev18041374m.g, syn2.L","SYN3, SYN2, SYN1",synapsin,NA
ENOG411CSIA,S,yif1b.L,YIF1B,Yip1 interacting factor homolog B (S. cerevisiae),Function Unknown
ENOG411CSIB,T,"jak1.S, tyk2.L, jak1.L","TYK2, JAK1",tyrosine-protein kinase,Signal Transduction
ENOG411CSIC,U,vps13a.L,VPS13A,vacuolar protein sorting 13 homolog A (S. cerevisiae),Intracellular trafficing and secretion
ENOG411CSID,T,"unc5b.S, unc5c.S, unc5c.L, unc5b.L","UNC5C, UNC5B",unc-5 homolog C (C. elegans),Signal Transduction
ENOG411CSIE,L,NA,NA,Nucleosome assembly protein (NAP),Replication and repair
ENOG411CSIF,F,"entpd7.L, entpd4.S","ENTPD4, ENTPD7",Ectonucleoside triphosphate diphosphohydrolase,Nucleotide metabolism and transport
ENOG411CSIG,TZ,"fmnl1.L, fmnl3.S, fmnl1.S, fmnl3.L",FMNL3,Formin-like,NA
ENOG411CSII,S,NA,"RIT1, RIT2",Ras-like without CAAX,Function Unknown
ENOG411CSIJ,T,"socs7.L, socs7.S",SOCS7,suppressor of cytokine signaling 7,Signal Transduction
ENOG411CSIK,P,"kcnj14.L, kcnj14.S",KCNJ14,"Potassium inwardly-rectifying channel, subfamily J, member 14",Inorganic ion transport and metabolism
ENOG411CSIM,B,"suv39h1.L, suv39h1.S, suv39h2.S","SUV39H1, SUV39H2",suppressor of variegation 3-9 homolog,Chromatin Structure and dynamics
ENOG411CSIN,U,acbd3.S,ACBD3,acyl-CoA binding domain containing 3,Intracellular trafficing and secretion
ENOG411CSIP,T,"klhl29.S, Xetrov90015210m.L",KLHL29,kelch-like 29 (Drosophila),Signal Transduction
ENOG411CSIQ,S,kiaa0195-like.L,TMEM94,kiaa0195,Function Unknown
ENOG411CSIR,S,"pygo1.L, pygo1.S",PYGO1,pygopus homolog 1 (Drosophila),Function Unknown
ENOG411CSIS,T,"tfg.L, tfg.S",TFG,trk-fused gene,Signal Transduction
ENOG411CSIU,C,iyd.L,IYD,Iodotyrosine deiodinase,Energy production and conversion
ENOG411CSIV,U,bbs2.S,BBS2,Bardet-Biedl syndrome 2,Intracellular trafficing and secretion
ENOG411CSIW,O,"dnajb2.S, dnajb2.L",DNAJB2,"DnaJ (Hsp40) homolog, subfamily B, member 2",Post-translational modification
ENOG411CSIX,E,"gpt2.S, gpt2.L, loc100494152.S, loc100494152.L","GPT, GPT2",transaminase (Alanine aminotransferase),Amino Acid metabolis and transport
ENOG411CSIY,K,"onecut2.S, Xelaev18020642m.g, Xelaev18018196m.g, Xelaev18020643m.g, onecut2.L","ONECUT1, ONECUT2",one cut homeobox,Transcription
ENOG411CSIZ,O,galnt12.L,GALNT12,UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12),Post-translational modification
ENOG411CSJ1,K,"tbr1.S, tbr1.L, eomes.S","TBR1, EOMES","T-box, brain, 1",Transcription
ENOG411CSJ2,M,"plscr1.S, plscr1.L, plscr3.L, plscr2.L, plscr2.S, Xelaev18019555m.g, loc100488434.L, loc100488434.S, plscr3.S, loc100489081.L","PLSCR1, PLSCR2, PLSCR3",Phospholipid scramblase,Cell wall/membrane/envelop biogenesis
ENOG411CSJ3,S,c15orf41.L,C15orf41,chromosome 15 open reading frame 41,Function Unknown
ENOG411CSJ4,T,mertk.L,MERTK,c-mer proto-oncogene tyrosine kinase,Signal Transduction
ENOG411CSJ5,L,wrn.L,WRN,"Werner syndrome, RecQ helicase-like",Replication and repair
ENOG411CSJ6,E,NA,ABITRAM,"family with sequence similarity 206, member A",Amino Acid metabolis and transport
ENOG411CSJ7,T,"rapgef4.S, rapgef4.L",RAPGEF4,Rap guanine nucleotide exchange factor (GEF) 4,Signal Transduction
ENOG411CSJ8,S,ccdc122.L,CCDC122,Coiled-coil domain containing 122,Function Unknown
ENOG411CSJA,V,dusp12.L,DUSP12,dual specificity phosphatase 12,NA
ENOG411CSJB,H,lipt2.S,LIPT2,Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity),Coenzyme metabolis
ENOG411CSJD,S,"ankrd54.L, ankrd54.S",ANKRD54,Ankyrin repeat domain 54,Function Unknown
ENOG411CSJE,K,"thrb.L, thra.S, thrb.S","THRB, THRA",Thyroid hormone receptor,Transcription
ENOG411CSJF,Q,"idi1.S, idi1.L",IDI1,Isopentenyl-diphosphate delta isomerase,Secondary Structure
ENOG411CSJG,T,"gpr19.S, gpr19.L",GPR19,G protein-coupled receptor 19,Signal Transduction
ENOG411CSJH,S,"kbtbd13.L, kbtbd13.S",KBTBD13,kelch repeat and BTB (POZ) domain containing 13,Function Unknown
ENOG411CSJJ,T,"tgfbr2.L, tgfbr2.S",TGFBR2,"Transforming growth factor, beta receptor II (70 80kDa)",Signal Transduction
ENOG411CSJK,S,fam49b.S,FAM49B,"Family with sequence similarity 49, member B",Function Unknown
ENOG411CSJM,S,"nipsnap3a.L, nipsnap3a.S","NIPSNAP3A, NIPSNAP3B",nipsnap homolog 3A (C. elegans),Function Unknown
ENOG411CSJN,T,"cpz.L, cpz.S",CPZ,carboxypeptidase Z,Signal Transduction
ENOG411CSJQ,S,"c7orf43.S, c7orf43.L",MAP11,chromosome 7 open reading frame 43,Function Unknown
ENOG411CSJS,P,slc39a12.S,SLC39A12,"solute carrier family 39 (zinc transporter), member 12",Inorganic ion transport and metabolism
ENOG411CSJT,S,"tnrc6c.S, tnrc6c.L",TNRC6C,Trinucleotide repeat containing 6C,Function Unknown
ENOG411CSJU,S,"ccdc6.L, ccdc6.S",CCDC6,Coiled-coil domain containing 6,Function Unknown
ENOG411CSJV,I,"cpt1a.S, loc100490391-like.L, loc100490391-like.S, cpt1b.L","CPT1A, CPT1B, CPT1C",Carnitine palmitoyltransferase,Lipid metabolism
ENOG411CSJW,A,NA,NCBP2,"Component of the cap-binding complex (CBC), which binds co-transcriptionally to the 5' cap of pre-mRNAs and is involved in various processes such as pre-mRNA splicing, translation regulation, nonsense-mediated mRNA decay, RNA-mediated gene silencing (RNAi) by microRNAs (miRNAs) and mRNA export. The CBC complex is involved in mRNA export from the nucleus via its interaction with ALYREF THOC4 ALY, leading to the recruitment of the mRNA export machinery to the 5' end of mRNA and to mRNA export in a 5' to 3' direction through the nuclear pore. The CBC complex is also involved in mediating U snRNA and intronless mRNAs export from the nucleus. The CBC complex is essential for a pioneer round of mRNA translation, before steady state translation when the CBC complex is replaced by cytoplasmic cap-binding protein eIF4E. The pioneer round of mRNA translation mediated by the CBC complex plays a central role in nonsense-mediated mRNA decay (NMD), NMD only taking place in mRNAs bound to the CBC complex, but not on eIF4E-bound mRNAs. The CBC complex enhances NMD in mRNAs containing at least one exon-junction complex (EJC) via its interaction with UPF1, promoting the interaction between UPF1 and UPF2. The CBC complex is also involved in 'failsafe' NMD, which is independent of the EJC complex, while it does not participate in Staufen-mediated mRNA decay (SMD). During cell proliferation, the CBC complex is also involved in microRNAs (miRNAs) biogenesis via its interaction with SRRT ARS2, thereby being required for miRNA- mediated RNA interference. The CBC complex also acts as a negative regulator of PARN, thereby acting as an inhibitor of mRNA deadenylation. In the CBC complex, NCBP2 CBP20 recognizes and binds capped RNAs (m7GpppG-capped RNA) but requires NCBP1 CBP80 to stabilize the movement of its N-terminal loop and lock the CBC into a high affinity cap-binding state with the cap structure",RNA processing and modification
ENOG411CSJX,U,"pcdh1.S, pcdh1.L, pcdh7.L, pcdh7.S","PCDH1, PCDH7",Protocadherin,Intracellular trafficing and secretion
ENOG411CSJY,S,"oscp1.L, oscp1.S",OSCP1,organic solute carrier partner 1,Function Unknown
ENOG411CSJZ,S,"cyfip2.L, cyfip1.S, cyfip1.L",CYFIP1,cytoplasmic FMR1 interacting protein,Function Unknown
ENOG411CSK0,UY,nup160.L,NUP160,Nucleoporin 160kDa,NA
ENOG411CSK1,T,cacybp.L,CACYBP,Calcyclin binding protein,Signal Transduction
ENOG411CSK2,U,"sppl2a.S, sppl2b.L, sppl2a.L, sppl2b.S","SPPL2B, SPPL2A, SPPL2C",signal peptide peptidase like,Intracellular trafficing and secretion
ENOG411CSK3,EIOV,"Xelaev18029563m.g, rnpep.L, Xelaev18027436m.g, rnpepl1.L","RNPEPL1, RNPEP",arginyl aminopeptidase (aminopeptidase,NA
ENOG411CSK4,W,"adgrb2.S, adgrb2.L, Xetrov90014302m.L, Xetrov90014302m.S, Xetrov90017250m.L, Xetrov90017250m.S, bai3.L, bai3.S, bai1.S","ADGRB3, ADGRB1, ADGRB2",brain-specific angiogenesis inhibitor,NA
ENOG411CSK5,T,"hepacam.S, hepacam.L",HEPACAM,hepatic and glial cell adhesion molecule,Signal Transduction
ENOG411CSK6,S,"nsmce4a.S, nsmce4a.L","NSMCE4A, EID3",non-SMC element 4 homolog A (S. cerevisiae),Function Unknown
ENOG411CSK7,T,"flvcr1.S, flvcr1.L, flvcr2.L","FLVCR1, FLVCR2",Feline leukemia virus subgroup C cellular receptor,Signal Transduction
ENOG411CSK8,S,"fam214b.S, fam214b.L",FAM214B,"family with sequence similarity 214, member B",Function Unknown
ENOG411CSKB,V,"agt.L, agt.S",AGT,"Angiotensinogen (Serpin peptidase inhibitor, clade A, member 8)",NA
ENOG411CSKD,T,irak4.L,IRAK4,Interleukin-1 receptor-associated kinase 4,Signal Transduction
ENOG411CSKE,K,NA,MYF6,myogenic factor 6 (herculin),Transcription
ENOG411CSKG,O,txn2.S,TXN2,thioredoxin 2,Post-translational modification
ENOG411CSKH,I,"msmo1.S, msmo1.L",MSMO1,Methylsterol monooxygenase 1,Lipid metabolism
ENOG411CSKI,P,"slc24a1-like.S, slc24a2.S, slc24a1-like.L, slc24a2.L","SLC24A1, SLC24A2","solute carrier family 24 (sodium potassium calcium exchanger), member",Inorganic ion transport and metabolism
ENOG411CSKJ,T,"loc734122.L, loc734122.S",NA,7 transmembrane receptor (rhodopsin family),Signal Transduction
ENOG411CSKN,O,sh3bgr.S,SH3BGR,SH3 domain binding glutamic acid-rich protein,Post-translational modification
ENOG411CSKP,K,nfrkb.L,NFRKB,Nuclear factor related to kappaB binding protein,Transcription
ENOG411CSKQ,O,"Xelaev18034014m.g, hhla1.S",HHLA1,HERV-H LTR-associating 1,Post-translational modification
ENOG411CSKS,T,map2k5.L,MAP2K5,Mitogen-activated protein kinase kinase 5,Signal Transduction
ENOG411CSKT,S,"kank2.S, kank3.S, kank2.L, kank3.L, kank1.L","KANK3, KANK2",KN motif and ankyrin repeat domains,Function Unknown
ENOG411CSKV,A,"srrm1.L, srrm1.S",SRRM1,Serine arginine repetitive matrix 1,RNA processing and modification
ENOG411CSKW,GI,"sftpb.L, sftpb.S",SFTPB,surfactant protein B,NA
ENOG411CSKX,S,"c1orf43.L, c1orf43.S",C1orf43,chromosome 1 open reading frame 43,Function Unknown
ENOG411CSKY,Z,"Xelaev18038724m.g, Xelaev18041965m.g","KIF4A, KIF4B",Kinesin family member 4A,Cytoskeleton
ENOG411CSM2,E,enoph1.S,ENOPH1,enolase-phosphatase 1,Amino Acid metabolis and transport
ENOG411CSM3,S,"cxxc1.L, cxxc1.S",CXXC1,CXXC finger protein 1,Function Unknown
ENOG411CSM5,O,bbs12.L,BBS12,Bardet-Biedl syndrome 12,Post-translational modification
ENOG411CSM7,T,"themis.L, themis2.S, themis2.L","THEMIS, THEMIS2",thymocyte selection associated,Signal Transduction
ENOG411CSM8,K,"loc100496014-like.L, loc100495973.L",PMFBP1,polyamine modulated factor 1 binding protein 1,Transcription
ENOG411CSM9,K,"mecom.S, mecom.L, prdm16.L, prdm16.S","PRDM16, MECOM",MDS1 and EVI1 complex locus,Transcription
ENOG411CSMA,TW,"lphn1-like.S, adgrl2.L, lphn1-like.L, Xelaev18009585m.g, Xelaev18009587m.g, Xetrov90001270m.S, adgrl2.S","ADGRL2, ADGRL3",Latrophilin,NA
ENOG411CSMB,C,"me2.L, me2.S",ME2,"malic enzyme 2, NAD( )-dependent, mitochondrial",Energy production and conversion
ENOG411CSMC,P,"Xelaev18018250m.g, trpm7.S, trpm7.L",TRPM7,Transient receptor potential cation channel subfamily M member,Inorganic ion transport and metabolism
ENOG411CSMD,J,yars2.L,YARS2,tyrosyl-tRNA synthetase 2 (mitochondrial),Tranlsation
ENOG411CSME,Q,"loc100492825.S, Xelaev18026176m.g, Xelaev18026174m.g, loc100492825.L, abcb5.L, abcb1.L","ABCB1, ABCB4, ABCB11, ABCB5","ATP-binding cassette, subfamily B (MDR TAP), member",Secondary Structure
ENOG411CSMF,A,"ddx21.L, ddx21.S","DDX21, DDX50",DEAD (Asp-Glu-Ala-Asp) box,RNA processing and modification
ENOG411CSMG,P,"slc9a2.L, Xelaev18012953m.g, slc9a1.L, Xelaev18015513m.g, slc9a2.S, slc9a4.S, slc9a1.S","SLC9A2, SLC9A1, SLC9A4","solute carrier family 9, subfamily A",Inorganic ion transport and metabolism
ENOG411CSMH,S,c4orf29.L,ABHD18,chromosome 4 open reading frame 29,Function Unknown
ENOG411CSMI,J,NA,MRPL16,Mitochondrial ribosomal protein L16,Tranlsation
ENOG411CSMJ,TU,zfyve19.L,ZFYVE19,"Zinc finger, FYVE domain containing 19",NA
ENOG411CSMK,K,lrrfip1.S,LRRFIP1,Leucine rich repeat (In FLII) interacting protein 1,Transcription
ENOG411CSMR,S,"sav1.S, sav1.L",SAV1,Salvador homolog 1 (Drosophila),Function Unknown
ENOG411CSMS,S,tmem132a.L,TMEM132A,Transmembrane protein 132A,Function Unknown
ENOG411CSMV,H,NA,NA,RUN and SH3 domain containing 1,Coenzyme metabolis
ENOG411CSMX,S,ttc14.L,TTC14,Tetratricopeptide repeat domain 14,Function Unknown
ENOG411CSMY,G,Xelaev18000200m.g,"GAPDH, GAPDHS","Has both glyceraldehyde-3-phosphate dehydrogenase and nitrosylase activities, thereby playing a role in glycolysis and nuclear functions, respectively. Glyceraldehyde-3-phosphate dehydrogenase is a key enzyme in glycolysis that catalyzes the first step of the pathway by converting D-glyceraldehyde 3- phosphate (G3P) into 3-phospho-D-glyceroyl phosphate. Modulates the organization and assembly of the cytoskeleton. Facilitates the CHP1-dependent microtubule and membrane associations through its ability to stimulate the binding of CHP1 to microtubules. Also participates in nuclear events including transcription, RNA transport, DNA replication and apoptosis. Nuclear functions are probably due to the nitrosylase activity that mediates cysteine S- nitrosylation of nuclear target proteins such as SIRT1, HDAC2 and PRKDC. Component of the GAIT (gamma interferon-activated inhibitor of translation) complex which mediates interferon-gamma-induced transcript-selective translation inhibition in inflammation processes. Upon interferon-gamma treatment assembles into the GAIT complex which binds to stem loop-containing GAIT elements in the 3'-UTR of diverse inflammatory mRNAs (such as ceruplasmin) and suppresses their translation (By similarity)",Carbohydrate metabolism and transport
ENOG411CSMZ,BK,"sirt1.L, sirt1.S",SIRT1,Sirtuin 1,NA
ENOG411CSN0,T,"limk2.L, limk2.S, limk1.L, limk1.S","LIMK2, LIMK1",LIM domain kinase,Signal Transduction
ENOG411CSN1,T,"ntrk3.L, ntrk3-like.2.S, ntrk2.S, ntrk3-like.1.S, ntrk3.S, ntrk2.L","NTRK3, NTRK2","neurotrophic tyrosine kinase, receptor, type",Signal Transduction
ENOG411CSN3,U,"arfgap2.S, arfgap3.S, arfgap3.L, arfgap2.L",ARFGAP3,ADP-ribosylation factor GTPase activating protein,Intracellular trafficing and secretion
ENOG411CSN4,T,"Xelaev18001824m.g, wnk3.L, wnk2.L, wnk3.S, Xelaev18002577m.g",WNK3,WNK lysine deficient protein kinase,Signal Transduction
ENOG411CSN5,S,sdpr.L,CAVIN2,Serum deprivation response,Function Unknown
ENOG411CSN7,D,mad2l1.L,MAD2L1,MAD2 mitotic arrest deficient-like 1 (Yeast),Cell cycle control and mitosis
ENOG411CSN8,K,"zbtb20.L, zbtb20.S",ZBTB20,zinc finger and BTB domain containing 20,Transcription
ENOG411CSN9,P,asna1.L,ASNA1,"ATPase required for the post-translational delivery of tail-anchored (TA) proteins to the endoplasmic reticulum. Recognizes and selectively binds the transmembrane domain of TA proteins in the cytosol. This complex then targets to the endoplasmic reticulum by membrane-bound receptors, where the tail- anchored protein is released for insertion. This process is regulated by ATP binding and hydrolysis. ATP binding drives the homodimer towards the closed dimer state, facilitating recognition of newly synthesized TA membrane proteins. ATP hydrolysis is required for insertion. Subsequently, the homodimer reverts towards the open dimer state, lowering its affinity for the membrane-bound receptor, and returning it to the cytosol to initiate a new round of targeting (By similarity)",Inorganic ion transport and metabolism
ENOG411CSNA,S,"Xelaev18029050m.g, Xelaev18026805m.g, Xelaev18038897m.g, Xelaev18038896m.g, Xelaev18042229m.g, Xelaev18026806m.g","ZDHHC14, ZDHHC18, ZDHHC9","Zinc finger, DHHC-type containing",Function Unknown
ENOG411CSNB,Z,"Xelaev18046355m.g, Xelaev18046384m.g, Xelaev18046386m.g, Xelaev18043615m.g",TPX2,"TPX2, microtubule-associated, homolog (Xenopus laevis)",Cytoskeleton
ENOG411CSNC,B,"kat6a.S, kat6a.L","KAT6A, KAT6B",K(lysine) acetyltransferase,Chromatin Structure and dynamics
ENOG411CSND,T,"lrrc28.L, lrrc28.S",LRRC28,Leucine rich repeat containing 28,Signal Transduction
ENOG411CSNE,A,mettl14.L,METTL14,Methyltransferase like 14,RNA processing and modification
ENOG411CSNF,O,"usp8.L, usp8.S",USP8,Ubiquitin specific peptidase 8,Post-translational modification
ENOG411CSNI,T,"lingo4.S, lingo4.L",LINGO4,leucine rich repeat and Ig domain containing 4,Signal Transduction
ENOG411CSNJ,U,"rab3ip.L, rab3il1.L","RAB3IL1, RAB3IP, NA",RAB3A interacting protein,Intracellular trafficing and secretion
ENOG411CSNK,UZ,NA,DCTN6,Dynactin 6,NA
ENOG411CSNN,T,"pde2a.S, pde2a.L, Xelaev18016493m.g",PDE2A,"Phosphodiesterase 2A, cGMP-stimulated",Signal Transduction
ENOG411CSNR,P,"slc4a7.L, slc4a8.S, slc4a7.S, slc4a8.L, slc4a10-like.L, slc4a10-like.S","SLC4A8, SLC4A10, SLC4A7",Solute carrier family 4 sodium bicarbonate,Inorganic ion transport and metabolism
ENOG411CSNS,K,pitx1.L,"PITX2, PITX1",paired-like homeodomain,Transcription
ENOG411CSNT,U,NA,FBXO8,F-box protein 8,Intracellular trafficing and secretion
ENOG411CSNU,U,yipf5.S,YIPF5,"Yip1 domain family, member 5",Intracellular trafficing and secretion
ENOG411CSNV,T,"prkce-like.2.L, Xelaev18038716m.g, prkce-like.2.S, prkch.L","NA, PRKCE, PRKCH",protein kinase C,Signal Transduction
ENOG411CSNW,O,psmd10.S,PSMD10,"Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 10",Post-translational modification
ENOG411CSNY,O,ermp1.L,ERMP1,endoplasmic reticulum metallopeptidase 1,Post-translational modification
ENOG411CSNZ,G,"alg10.L, alg10.S","ALG10, ALG10B","Asparagine-linked glycosylation 10, alpha-1,2-glucosyltransferase homolog",Carbohydrate metabolism and transport
ENOG411CSP0,K,pcif1.L,PCIF1,PDX1 C-terminal inhibiting factor 1,Transcription
ENOG411CSP1,J,malsu1.L,MALSU1,mitochondrial assembly of ribosomal large subunit 1,Tranlsation
ENOG411CSP2,S,stk11ip.L,STK11IP,serine threonine kinase 11 interacting protein,Function Unknown
ENOG411CSP4,T,"fastkd5.S, fastkd5.L",FASTKD5,FAST kinase domains 5,Signal Transduction
ENOG411CSP5,A,"skiv2l2.L, skiv2l2.S",MTREX,superkiller viralicidic activity 2-like 2 (S. cerevisiae),RNA processing and modification
ENOG411CSP8,S,"Xelaev18016667m.g, fam118b.S, fam118b.L","FAM118A, FAM118B","family with sequence similarity 118, member",Function Unknown
ENOG411CSP9,C,ndufa8.S,NDUFA8,"NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex, 8, 19kDa",Energy production and conversion
ENOG411CSPB,S,"cxxc4.S, cxxc4.L",CXXC4,CXXC finger protein 4,Function Unknown
ENOG411CSPC,OT,"Xelaev18039358m.g, capn2.L, loc101731595.L, capn2.2.L, Xelaev18039359m.g, capn1.L, capn2.2.S","CAPN2, CAPN1, CAPN11","calpain 2, (m II) large subunit",NA
ENOG411CSPD,S,mitd1.L,MITD1,"MIT, microtubule interacting and transport, domain containing 1",Function Unknown
ENOG411CSPE,U,"loc100498368-like.S, pcdh8.2.L, loc100498368-like.L, pcdh8.2.S, pcdh8.S",PCDH8,Protocadherin 8,Intracellular trafficing and secretion
ENOG411CSPF,G,"Xelaev18032599m.g, Xelaev18003162m.g, Xelaev18032601m.g, Xelaev18032598m.g, tyr.S",TYR,tyrosinase,Carbohydrate metabolism and transport
ENOG411CSPG,J,"rps8.S, rps8.L",RPS8,ribosomal protein S8,Tranlsation
ENOG411CSPH,TZ,"tns1.L, tns1.S, Xelaev18033265m.g",NA,Tensin 1,NA
